day,collision_date,NUM_COLLISIONS
3,2015-07-01,683
4,2015-07-02,603
5,2015-07-03,549
6,2015-07-04,389
7,2015-07-05,467
1,2015-07-06,598
2,2015-07-07,646
3,2015-07-08,620
4,2015-07-09,567
5,2015-07-10,709
6,2015-07-11,597
7,2015-07-12,521
1,2015-07-13,668
2,2015-07-14,657
3,2015-07-15,611
4,2015-07-16,686
5,2015-07-17,659
6,2015-07-18,561
7,2015-07-19,545
1,2015-07-20,727
2,2015-07-21,606
3,2015-07-22,618
4,2015-07-23,623
5,2015-07-24,490
6,2015-07-25,451
7,2015-07-26,551
1,2015-07-27,626
2,2015-07-28,643
3,2015-07-29,629
4,2015-07-30,717
5,2015-07-31,753
6,2015-08-01,668
7,2015-08-02,550
1,2015-08-03,705
2,2015-08-04,666
3,2015-08-05,619
4,2015-08-06,630
5,2015-08-07,726
6,2015-08-08,545
7,2015-08-09,489
1,2015-08-10,611
2,2015-08-11,601
3,2015-08-12,643
4,2015-08-13,714
5,2015-08-14,729
6,2015-08-15,582
7,2015-08-16,552
1,2015-08-17,592
2,2015-08-18,623
3,2015-08-19,594
4,2015-08-20,600
5,2015-08-21,753
6,2015-08-22,581
7,2015-08-23,492
1,2015-08-24,575
2,2015-08-25,595
3,2015-08-26,606
4,2015-08-27,614
5,2015-08-28,609
6,2015-08-29,539
7,2015-08-30,563
1,2015-08-31,614
2,2015-09-01,626
3,2015-09-02,654
4,2015-09-03,665
5,2015-09-04,643
6,2015-09-05,541
7,2015-09-06,504
1,2015-09-07,485
2,2015-09-08,795
3,2015-09-09,740
4,2015-09-10,716
5,2015-09-11,765
6,2015-09-12,554
7,2015-09-13,478
1,2015-09-14,579
2,2015-09-15,579
3,2015-09-16,748
4,2015-09-17,744
5,2015-09-18,760
6,2015-09-19,655
7,2015-09-20,556
1,2015-09-21,624
2,2015-09-22,571
3,2015-09-23,501
4,2015-09-24,619
5,2015-09-25,585
6,2015-09-26,557
7,2015-09-27,493
1,2015-09-28,586
2,2015-09-29,557
3,2015-09-30,634
4,2015-10-01,683
5,2015-10-02,798
6,2015-10-03,556
7,2015-10-04,536
1,2015-10-05,597
2,2015-10-06,631
3,2015-10-07,668
4,2015-10-08,666
5,2015-10-09,764
6,2015-10-10,649
7,2015-10-11,559
1,2015-10-12,505
2,2015-10-13,724
3,2015-10-14,658
4,2015-10-15,683
5,2015-10-16,676
6,2015-10-17,565
7,2015-10-18,551
1,2015-10-19,667
2,2015-10-20,714
3,2015-10-21,720
4,2015-10-22,666
5,2015-10-23,742
6,2015-10-24,519
7,2015-10-25,522
1,2015-10-26,698
2,2015-10-27,631
3,2015-10-28,689
4,2015-10-29,767
5,2015-10-30,688
6,2015-10-31,357
7,2015-11-01,312
1,2015-11-02,613
2,2015-11-03,655
3,2015-11-04,672
4,2015-11-05,690
5,2015-11-06,616
6,2015-11-07,500
7,2015-11-08,472
1,2015-11-09,615
2,2015-11-10,757
3,2015-11-11,530
4,2015-11-12,637
5,2015-11-13,677
6,2015-11-14,613
7,2015-11-15,500
1,2015-11-16,618
2,2015-11-17,684
3,2015-11-18,628
4,2015-11-19,797
5,2015-11-20,819
6,2015-11-21,597
7,2015-11-22,431
1,2015-11-23,704
2,2015-11-24,733
3,2015-11-25,717
4,2015-11-26,383
5,2015-11-27,480
6,2015-11-28,508
7,2015-11-29,453
1,2015-11-30,611
2,2015-12-01,746
3,2015-12-02,655
4,2015-12-03,623
5,2015-12-04,680
6,2015-12-05,629
7,2015-12-06,485
1,2015-12-07,668
2,2015-12-08,618
3,2015-12-09,575
4,2015-12-10,668
5,2015-12-11,694
6,2015-12-12,578
7,2015-12-13,549
1,2015-12-14,637
